sample_index,time_s,voltage_mV
0,0.0,2.50945
1,0.0005,2.52799
2,0.001,2.53685
3,0.0015,2.53363
4,0.002,2.53846
5,0.0025,2.53766
6,0.003,2.5441
7,0.0035,2.52557
8,0.004,2.52476
9,0.0045,2.52154
10,0.005,2.51993
11,0.0055,2.50784
12,0.006,2.50139
13,0.0065,2.49897
14,0.007,2.4893
15,0.0075,2.49414
16,0.008,2.49011
17,0.0085,2.4893
18,0.009,2.48769
19,0.0095,2.49656
20,0.01,2.50703
21,0.0105,2.52799
22,0.011,2.5304
23,0.0115,2.54733
24,0.012,2.55216
25,0.0125,2.56586
26,0.013,2.57634
27,0.0135,2.57231
28,0.014,2.58037
29,0.0145,2.56989
30,0.015,2.58601
31,0.0155,2.57392
32,0.016,2.56505
33,0.0165,2.56586
34,0.017,2.54894
35,0.0175,2.54007
36,0.018,2.52073
37,0.0185,2.50784
38,0.019,2.49736
39,0.0195,2.49495
40,0.02,2.49656
41,0.0205,2.49333
42,0.021,2.49656
43,0.0215,2.50059
44,0.022,2.50462
45,0.0225,2.51187
46,0.023,2.52154
47,0.0235,2.52879
48,0.024,2.5304
49,0.0245,2.56022
50,0.025,2.57311
51,0.0255,2.58681
52,0.026,2.58601
53,0.0265,2.59004
54,0.027,2.59971
55,0.0275,2.59407
56,0.028,2.5844
57,0.0285,2.58117
58,0.029,2.58198
59,0.0295,2.58278
60,0.03,2.57875
61,0.0305,2.56344
62,0.031,2.56667
63,0.0315,2.55216
64,0.032,2.557
65,0.0325,2.54652
66,0.033,2.54813
67,0.0335,2.54571
68,0.034,2.55055
69,0.0345,2.57231
70,0.035,2.56183
71,0.0355,2.56425
72,0.036,2.58278
73,0.0365,2.59245
74,0.037,2.60374
75,0.0375,2.61341
76,0.038,2.61018
77,0.0385,2.63597
78,0.039,2.62147
79,0.0395,2.62147
80,0.04,2.63275
81,0.0405,2.61341
82,0.041,2.61744
83,0.0415,2.6126
84,0.042,2.60615
85,0.0425,2.59245
86,0.043,2.57795
87,0.0435,2.56747
88,0.044,2.56989
89,0.0445,2.557
90,0.045,2.56505
91,0.0455,2.55136
92,0.046,2.55861
93,0.0465,2.557
94,0.047,2.557
95,0.0475,2.57875
96,0.048,2.57473
97,0.0485,2.59245
98,0.049,2.60051
99,0.0495,2.60857
100,0.05,2.60777
101,0.0505,2.63033
102,0.051,2.63436
103,0.0515,2.63436
104,0.052,2.63194
105,0.0525,2.63436
106,0.053,2.63516
107,0.0535,2.63194
108,0.054,2.62872
109,0.0545,2.6126
110,0.055,2.61582
111,0.0555,2.60374
112,0.056,2.59971
113,0.0565,2.59971
114,0.057,2.59568
115,0.0575,2.59729
116,0.058,2.59568
117,0.0585,2.59971
118,0.059,2.59971
119,0.0595,2.60374
120,0.06,2.62549
121,0.0605,2.62227
122,0.061,2.63839
123,0.0615,2.64645
124,0.062,2.66015
125,0.0625,2.65612
126,0.063,2.67465
127,0.0635,2.68271
128,0.064,2.67868
129,0.0645,2.68996
130,0.065,2.68352
131,0.0655,2.68916
132,0.066,2.67707
133,0.0665,2.66901
134,0.067,2.66418
135,0.0675,2.67062
136,0.068,2.65853
137,0.0685,2.64081
138,0.069,2.64
139,0.0695,2.62952
140,0.07,2.62711
141,0.0705,2.63919
142,0.071,2.64161
143,0.0715,2.63355
144,0.072,2.64484
145,0.0725,2.65451
146,0.073,2.66015
147,0.0735,2.66015
148,0.074,2.68593
149,0.0745,2.70527
150,0.075,2.7222
151,0.0755,2.72864
152,0.076,2.7359
153,0.0765,2.74154
154,0.077,2.73751
155,0.0775,2.74396
156,0.078,2.75443
157,0.0785,2.74637
158,0.079,2.74154
159,0.0795,2.73106
160,0.08,2.71575
161,0.0805,2.70125
162,0.081,2.68835
163,0.0815,2.68271
164,0.082,2.66821
165,0.0825,2.66418
166,0.083,2.66498
167,0.0835,2.67062
168,0.084,2.66659
169,0.0845,2.67546
170,0.085,2.68593
171,0.0855,2.7093
172,0.086,2.723
173,0.0865,2.73509
174,0.087,2.74799
175,0.0875,2.76088
176,0.088,2.75927
177,0.0885,2.77377
178,0.089,2.77297
179,0.0895,2.77377
180,0.09,2.77861
181,0.0905,2.78344
182,0.091,2.76974
183,0.0915,2.7633
184,0.092,2.76249
185,0.0925,2.74879
186,0.093,2.74557
187,0.0935,2.73106
188,0.094,2.7359
189,0.0945,2.73106
190,0.095,2.68996
191,0.0955,2.72139
192,0.096,2.72784
193,0.0965,2.73026
194,0.097,2.73267
195,0.0975,2.7367
196,0.098,2.73509
197,0.0985,2.75121
198,0.099,2.7633
199,0.0995,2.78183
200,0.1,2.78505
201,0.1005,2.78908
202,0.101,2.81245
203,0.1015,2.80198
204,0.102,2.81245
205,0.1025,2.81729
206,0.103,2.8044
207,0.1035,2.79795
208,0.104,2.7504
209,0.1045,2.78022
210,0.105,2.76007
211,0.1055,2.7504
212,0.106,2.74637
213,0.1065,2.74879
214,0.107,2.73832
215,0.1075,2.73348
216,0.108,2.71011
217,0.1085,2.71011
218,0.109,2.70447
219,0.1095,2.69802
220,0.11,2.71172
221,0.1105,2.41355
222,0.111,2.40872
223,0.1115,2.4063
224,0.112,2.39985
225,0.1125,2.39582
226,0.113,2.39502
227,0.1135,2.38051
228,0.114,2.37407
229,0.1145,2.37245
230,0.115,2.36117
231,0.1155,2.35473
232,0.116,2.3507
233,0.1165,2.34747
234,0.117,2.35231
235,0.1175,2.35553
236,0.118,2.35795
237,0.1185,2.36117
238,0.119,2.37648
239,0.1195,2.37971
240,0.12,2.38615
241,0.1205,2.3926
242,0.121,2.4063
243,0.1215,2.41516
244,0.122,2.42806
245,0.1225,2.42242
246,0.123,2.44982
247,0.1235,2.44095
248,0.124,2.44256
249,0.1245,2.44176
250,0.125,2.44982
251,0.1255,2.44256
252,0.126,2.40711
253,0.1265,2.39502
254,0.127,2.39582
255,0.1275,2.37729
256,0.128,2.36359
257,0.1285,2.35473
258,0.129,2.35875
259,0.1295,2.35553
260,0.13,2.34505
261,0.1305,2.35473
262,0.131,2.36601
263,0.1315,2.38132
264,0.132,2.38938
265,0.1325,2.39663
266,0.133,2.40066
267,0.1335,2.41355
268,0.134,2.41516
269,0.1345,2.41275
270,0.135,2.40388
271,0.1355,2.41194
272,0.136,2.41516
273,0.1365,2.41919
274,0.137,2.41919
275,0.1375,2.41033
276,0.138,2.40711
277,0.1385,2.39341
278,0.139,2.38132
279,0.1395,2.3789
280,0.14,2.35231
281,0.1405,2.35795
282,0.141,2.36601
283,0.1415,2.3507
284,0.142,2.36117
285,0.1425,2.35956
286,0.143,2.36117
287,0.1435,2.36278
